"Gene.Comp1","Gene.Comp2","Protein.Comp1","Protein.Comp2"
1.74902627442193,-0.32391928104177,1.78280132595928,-0.696978201331331
2.10425053331156,-0.395647221196009,0.739249250948144,0.806631359831155
1.47073180858978,-0.168795717121903,1.57710148560113,-0.42737702239708
2.12933109568816,-0.918319329970558,1.47707723209801,-0.566064447446777
1.0229699919284,2.76462056569176,1.00092335174901,2.25292809876245
-1.38994746906924,-0.49673613432107,-1.61127256467409,-0.0204039009210388
-1.60180496062639,-0.285847217089889,-1.05868198754979,-1.0146945065436
-1.86682677946261,-0.0321479468470935,-1.45265421767395,0.40177686537656
-2.29858119813109,0.635691122158303,-1.61564807370463,1.59554794411756
-1.31914929665047,-0.778898840261775,-0.838895802752445,-2.33136618944823
