Feature ID	Taxon	Confidence
e2af54e4ba1c19cdbba66965bc6f5b8b	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Ileibacterium	0.7063684148526862
f3940e17dc2ee325e6ed3fd41fa20140	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	0.9999954968276298
26ddc6ffaee28cd3c12e8b81ba7f9bb3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	0.9999967788956647
75b592a8bb5fc04d128bc117cac0e7ff	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	0.9999936139692363
f77f4c15ec685c7305fb226235821bb7	d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0.9999999461633438
d2a19ba24bc30bd339af557907e50a87	d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0.9999999838018996
bc7323c37cd3776f61ae1f8b36e06418	d__Bacteria;p__Firmicutes;c__Clostridia	0.9999801241198212
6c089f5a5953b5d519902a8d8f5b09bf	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.9930964798351049
a2ce1295d4b93225442321015998481d	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9986671543221568
2114b54040030b9822561e17491dfe86	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9992380139198122
f7aa6957ee7d257aa23c77a47b2308a1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	0.9997492276169189
72ceaec769c9d85fa862655e79f36e1b	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	0.9997915829732318
62a2d7d8c1cf551201b8ed7fe09db77f	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella	0.9999917210307899
af2002c6f6c9334c2bfe0dcb2548e340	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	0.9998814043020048
72e0fc71e70376893f34c69fead6dda8	d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0.999999718894355
7f1a68ebce7f6345d1f5f42dd0602441	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9999268786901384
de7778094f1dec434150ddbc6bb657fc	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9994470824464099
110870918983c2b2bf77bd9c76d78e5b	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	0.9082141020400276
df010a8915c586e708e95ebbda515beb	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group	0.9998406981897716
16c3d8bfb8676b49f2ef36b4ae49fa7b	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	0.9560314716195006
e2e41333113647009ed5ccdf60874c05	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	0.8929274039927632
878951c0d9442c1bc58e569364dd8b20	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_oxidoreducens_group	0.7896258437394397
