TreatmentGroup	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR+HLU	IR	IR	IR	IR	sham	sham	sham	sham	IR	IR	IR	IR	sham	sham	sham	sham
Dose-Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	sham	sham	sham	sham	0.5_Gy	0.5_Gy	0.5_Gy	0.5_Gy	sham	sham	sham	sham
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Tyzzerella	0.0005107578369405605	0.0003336938761420385	0.00010717949503146483	0.000251626997289291	0.0001627965487131673	0.0	0.00013984275459150378	9.59140610013428e-05	0.0	0.0	0.00015061271992880125	2.6986911347996223e-05	0.00036290231123409467	0.0	0.0006991314636048294	0.0	0.0	0.00027810223037988765	0.0	0.0	3.640997633351538e-05	0.0	0.0004031343697246088	0.0	0.0	0.0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_UCG_001	0.025362318840579712	0.0069730513428301845	0.0017148719205034373	6.862554471526118e-05	0.007488641240805695	0.0008489102930373031	0.007085366232636192	0.012900441204680606	0.0	0.00010962164870959659	0.006982953378517149	0.0018620968830117394	0.0001360883667127855	0.0005081300813008131	0.01962946032428944	0.010961417741078758	0.0017224377095522976	0.006748614123885274	0.0011692543607437224	0.000875671488473132	0.0023666484616785	0.000180296200901481	0.020106326690014865	0.022311325396044475	0.002537350509244473	0.0014147677673760574
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia	0.0017078465172699995	0.002243803649920604	0.0011942858017791795	0.0012238222140888244	0.004913495833888322	0.00032650395886050116	0.002113179402716057	0.0018543385126926274	9.886991685039993e-05	0.007704835880731647	0.008639693297733963	0.0015112670354877884	0.002177413867404568	0.0019196025293586269	0.02557207776493049	0.012917089188275629	0.003997107356518309	0.013775330478150435	0.009469043511596702	0.03529629691999394	0.03429819770617149	0.003219575016097875	0.019728388218398046	0.019162648824166094	0.005465062635295788	0.017805002859636977
d__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Parvibacter	6.384472961757006e-05	0.0002301337076841645	0.00012249085146453123	0.00013725108943052236	0.00013319717621986413	0.00031017876091747615	0.00012430467074800336	4.79570305006714e-05	0.00042514064245671967	0.00028188423953896265	2.7384130896145682e-05	0.0	4.536278890426183e-05	0.0	0.00010755868670843529	0.0	5.259351784892512e-05	3.708029738398502e-05	0.0006325474410580794	1.6839836316791e-05	5.4614964500273074e-05	7.7269800386349e-05	0.0001511753886467283	0.0001967922857423989	0.00014194967883885163	0.0001204057674362602
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium_sensu_stricto_1	0.002713401008746728	0.08190458656479414	0.01878703434337248	0.04975351991856435	0.0025751454069173735	0.005779120071830871	0.0065415332981136765	0.006953769422597352	0.0019971723203780784	0.07363442746178903	0.017416307249948654	0.009175549858318715	0.015049105218988864	0.01600609756097561	0.012369248971470058	0.004249360181563571	0.03267372296364473	0.015592265049965701	0.18092773624688518	0.04007881043396258	0.01929728745676315	0.0848422408242112	0.019451233339212375	0.05783233297254747	0.047695092089854146	0.03306643388218296
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.0204781970248356	0.016109359537891516	0.01598505611612133	0.020427537143576077	0.02739421924255206	0.007901395804424128	0.017122968395537463	0.020605537438455144	3.954796674015997e-05	0.019434352292658483	0.0087218456904224	0.013533936041020106	0.009821043797772686	0.015272131887985546	0.00685686627766275	0.010164662707035588	0.004601932811780948	0.010326862821439829	0.019014759440291355	0.015745246956199586	0.01166939741489168	0.021223438506117194	0.005442313991282219	0.006690937715241562	0.0024308882501153342	0.0026790283254567895
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0.0	0.00019561365153153982	7.655678216533203e-05	5.7187953929384316e-05	0.0	9.795118765815036e-05	0.0	0.0	0.0	3.132047105988474e-05	0.0	6.746727836999056e-05	0.00015876976116491643	0.0	0.0	4.828818388140422e-05	0.00027611596870685687	0.0	5.750431282346176e-05	5.0519508950373005e-05	0.0	0.000128783000643915	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Enterorhabdus	0.0008778650322415884	0.007295238533588015	0.0021742126134954294	0.0009493200352277796	0.0013615711346919445	0.0034609419639213125	0.0012430467074800336	0.0005594986891744997	0.0020564942704883187	0.001691305437233776	0.0013144382830149928	0.0013628390230738092	0.0008618929891809748	0.0008468834688346884	0.0015596009572723117	0.0012796368728572119	0.0011176122542896588	0.0008157665424476704	0.003335250143760782	0.00011787885421753701	0.0008374294556708538	0.000412105602060528	0.0017133210713295875	0.001426744071632392	0.0016324213066467937	0.0004966737906745733
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Harryflintia	0.000462874289727383	0.00021862702229995628	3.062271286613281e-05	0.00017156386178815295	0.0005475883911261082	0.0	1.553808384350042e-05	7.992838416778566e-05	0.0	0.0	6.84603272403642e-05	0.0	0.00015876976116491643	0.00011291779584462511	0.00013444835838554413	0.00012072045970351055	2.629675892446256e-05	0.0006303650555277453	5.750431282346176e-05	0.000370476398969402	0.0006189695976697615	0.000154539600772698	0.00017637128675451635	0.00022139132146019877	0.00014194967883885163	0.0001354564883657927
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	0.00041499074251420546	0.0006443743815156606	0.0009033700295509179	0.0016241378915945145	0.00028119403868637986	0.0007019835115500776	0.0008235184437055223	0.001326811177185242	0.0	4.698070658982711e-05	0.0	0.006692754014303063	0.012849009957132165	0.018518518518518517	0.009303826400279653	0.01212033415423246	0.012175399382026166	0.004709197767766097	0.0013225991949396205	0.000656753616354849	0.001001274349171673	0.00309079201545396	0.002091259542946408	0.0035422611433631804	0.008321799921927676	0.004304506185846302
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_UCG_006	0.018945923514013918	0.0037166593790992565	0.00626234478112416	0.0016127003008086377	0.005298287676301262	0.00022855277120235082	0.0012896609590105348	0.0003676705671718141	0.0010974560770394392	0.0034452518165873215	0.0026562606969261315	0.0014033193900958036	0.0020980289868221098	0.0005363595302619692	0.0025007394659711203	0.006446472548167464	0.0009729800802051147	0.008305986614012644	0.002971056162545524	0.004681474496067898	0.005243036592026215	0.000875724404378622	0.0030487036710423543	0.003345468857620781	0.0007274921040491146	0.003521868697510611
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__uncultured	0.005522569111919811	0.0033484454468045936	0.004700586424951386	0.004517848360421361	0.012298539270967456	0.0010284874704105788	0.006572609465800678	0.0044280324828953254	0.00011864390022047992	0.004463167126033576	0.010515506264119942	0.0020105248954257185	0.002540316178638663	0.0035286811201445346	0.008792922638414585	0.01052682408614612	0.0036026559726513706	0.013923651667686375	0.012075905692926969	0.01448225923244026	0.010467868195885672	0.002549903412749517	0.01214442288795384	0.010995768965856538	0.006334504418183754	0.004455013395141628
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Ruminococcus	0.008954223328864202	0.002255310335304812	0.00047465204942505855	0.006942617607027256	0.009087007355444064	0.0001959023753163007	0.001041051617514528	0.0021260950188630987	0.0	0.0015816837885241795	0.0010132128431573904	0.0007151531507218999	0.004910521898886343	0.003048780487804878	0.001962946032428944	0.0007243227582210633	0.0008677930445072645	0.000945547583291618	0.0033735863523097565	0.010322819662192884	0.004569452029856181	0.007314874436574372	0.005190355010204339	0.005706976286529568	0.006086092480215763	0.005312904488124981
