# Constructed from biom file
#OTU ID	7148-49	7148-50	7148-51	7148-52	7148-53	7148-54	7148-55	7148-56	7148-57	7148-59	7148-61	7148-63	7148-64	7148-69	7148-70	7148-71	7148-72	7148-73	7148-74	7148-76	7148-77	7148-78	7148-79	7148-80	7148-81	7148-82	7148-83	7148-84	7148-85	7148-86	7148-87	7148-89	7148-90	7148-91	7148-92
EC:2.7.11.1	3609.8199999999997	2870.9	2765.42	2326.31	4485.25	1270.57	2022.7399999999998	1535.9	1868.56	2885.58	2693.83	4044.4	2604.83	1128.72	1807.1	2985.3999999999996	2864.8	1707.71	2040.2600000000002	1556.77	2561.06	2394.3199999999997	1449.9	2759.08	3217.4300000000003	3933.08	3735.0600000000004	2422.26	2523.5699999999997	897.6800000000001	2459.16	2269.66	2299.11	1498.71	1654.55
EC:2.7.13.3	11591.95	8140.94	8674.76	7555.75	14511.0	3216.79	6828.879999999999	5299.61	5248.33	7547.35	8999.49	12787.119999999999	6871.74	3528.07	5682.31	9375.939999999999	9708.14	5623.19	6583.950000000001	5509.07	8418.08	8115.54	4818.1900000000005	9203.23	9454.720000000001	12929.99	12186.51	7272.37	8400.869999999999	3285.79	8530.23	7805.47	7644.0	5495.61	6062.89
EC:2.7.14.1	342.17	113.25	182.67000000000002	125.17	186.25	39.08	92.33	94.92	8.75	81.67	178.66	382.33	166.5	156.16	140.67000000000002	306.58000000000004	302.58	88.17	157.67000000000002	79.09	234.5	271.83	51.75	227.25	105.67	279.33	263.5	126.17	335.33	72.5	287.34000000000003	190.32999999999998	176.84	108.66	161.57999999999998
EC:2.7.2.1	1494.4099999999999	1827.41	1460.5	1381.49	1765.5	1665.58	1221.33	1044.4099999999999	1938.2399999999998	2404.0	1352.75	1620.58	1996.0	1071.4099999999999	1226.3400000000001	1401.4099999999999	1221.4899999999998	1324.65	1131.67	1035.59	1267.2399999999998	1215.83	1087.9099999999999	1264.33	1993.3400000000001	1730.25	1649.91	1709.92	1267.08	971.17	1077.33	1173.58	1226.8400000000001	1018.5699999999999	951.74
EC:2.7.2.11	1342.33	778.66	1026.67	937.4099999999999	1591.5	461.90999999999997	857.6600000000001	755.8299999999999	111.49	720.8399999999999	1060.08	1418.58	732.0799999999999	588.15	777.84	1170.6599999999999	1182.07	574.3199999999999	935.6700000000001	798.01	1139.7399999999998	1047.1599999999999	747.66	1123.08	990.59	1443.83	1398.16	892.84	1114.24	605.17	1098.92	1006.1600000000001	1034.0100000000002	847.98	895.3199999999999
EC:2.7.2.2	1335.83	695.8299999999999	903.75	714.16	1508.0	129.32999999999998	581.75	385.65999999999997	37.33	606.5799999999999	926.3299999999999	1585.57	607.1700000000001	142.57999999999998	435.09000000000003	980.16	919.24	339.74	594.09	359.34000000000003	744.0799999999999	847.33	227.32999999999998	879.1700000000001	857.9200000000001	1365.25	1327.24	752.75	855.42	180.34	772.1600000000001	679.1700000000001	777.9300000000001	495.41	548.49
EC:2.7.2.3	1448.33	1581.4099999999999	1343.92	1238.4099999999999	1710.75	1136.16	1164.4099999999999	1027.08	1765.2399999999998	1709.92	1280.08	1585.33	1503.58	975.9	1067.5900000000001	1326.9099999999999	1273.57	1252.0700000000002	1074.92	995.26	1212.4899999999998	1154.1599999999999	970.91	1238.83	1571.3400000000001	1591.08	1503.41	1311.5900000000001	1200.9899999999998	832.67	1152.42	1120.66	1121.2600000000002	928.23	947.5699999999999
EC:2.7.2.4	2086.41	2002.4900000000002	1829.17	1707.24	2070.25	947.74	1627.4899999999998	1528.66	1670.82	1558.84	1782.8200000000002	2026.6599999999999	1584.75	1074.9	1352.18	1705.6599999999999	1747.4899999999998	1547.15	1391.3400000000001	1433.3500000000001	1718.32	1718.8200000000002	1411.6599999999999	1764.33	2195.4300000000003	2141.58	2008.9099999999999	1726.26	1836.6599999999999	1138.3400000000001	1572.92	1673.58	1658.68	1432.06	1442.48
EC:2.7.2.7	665.5	350.0	469.0	478.0	1050.0	68.5	315.0	218.5	11.5	426.33	532.0	881.0	369.5	83.5	214.5	365.0	446.0	207.0	423.5	295.0	281.0	353.0	137.5	421.0	614.5	799.5	718.0	452.5	404.5	115.0	481.0	302.5	371.0	297.0	302.0
EC:2.7.2.8	1409.33	822.6599999999999	1071.17	986.4099999999999	1651.0	476.90999999999997	877.66	789.8299999999999	102.49	727.67	1088.58	1444.58	828.0799999999999	602.65	793.84	1197.1599999999999	1222.57	589.32	954.1700000000001	808.51	1147.7399999999998	1089.1599999999999	760.66	1177.58	1052.5900000000001	1478.83	1432.16	924.34	1134.2399999999998	627.17	1123.92	1042.16	1054.0100000000002	847.98	919.3199999999999
EC:2.7.3.9	1249.91	1484.2399999999998	1110.92	979.8199999999999	1554.5	856.74	864.4100000000001	635.74	1763.82	1656.8400000000001	1054.75	1514.74	1300.9099999999999	697.89	798.09	1226.4099999999999	1131.06	1017.31	836.9200000000001	635.26	978.5699999999999	893.74	623.99	1110.25	1433.67	1481.58	1401.15	1074.09	980.3199999999999	466.76	971.08	842.5799999999999	908.6000000000001	572.14	666.56
EC:2.7.4.1	1291.83	593.16	964.1700000000001	845.41	1493.5	433.40999999999997	781.6600000000001	698.8299999999999	111.49	570.17	967.58	1331.58	727.5799999999999	565.65	732.34	1140.6599999999999	1118.07	522.8199999999999	880.6700000000001	713.01	1021.2399999999999	960.66	655.16	1060.08	598.09	1283.33	1273.66	703.34	985.74	596.17	1053.92	869.66	826.01	701.98	809.3199999999999
EC:2.7.4.14	2603.99	2062.07	2123.17	1787.6499999999999	3086.25	1233.07	1671.49	1383.57	1775.6499999999999	2043.76	2011.49	2876.57	1978.0800000000002	1084.39	1440.1799999999998	2089.91	2050.7299999999996	1510.8899999999999	1577.8400000000001	1299.1000000000001	1821.9	1842.9	1134.99	1997.5	1959.2600000000002	2677.58	2702.15	1819.26	1829.4900000000002	972.43	1840.58	1676.0	1654.52	1249.9699999999998	1333.72
EC:2.7.4.16	276.75	142.32999999999998	287.67	325.75	185.25	294.58	321.15999999999997	411.67	35.41	133.42000000000002	250.32999999999998	166.59	326.33000000000004	399.48999999999995	312.17	225.33	347.33	255.58	349.0	395.84000000000003	275.40999999999997	304.08	350.58	279.40999999999997	182.84	187.32999999999998	196.42000000000002	283.34000000000003	319.99	412.58	357.01	318.74	303.5	359.07	377.33
