	JvRad_Rhipp_504	JvRad_Rhipp_503	JvRad_Rhipp_402	JvRad_Rhipp_401	JvRad_Rhipp_400	JvRad_Rhipp_203	JvRad_Rhipp_202	JvRad_Rhipp_201	JvRad_Rhipp_200
Gm7369	0	0	0	0	0	1.76855824556809	4.85435895801192	0	1.74127298868675
Gm6123	5.2383578234988	0.480810141953726	2.07510804312893	0.730038864647201	1.63723625172852	10.6113494734086	4.85435895801192	7.13255736456504	3.4825459773735
Atp6v1h	13.9689541959968	10.0970129810282	8.99213485355868	10.950582969708	15.963053454353	14.1484659645447	17.7993161793771	19.6145327525539	22.6365488529277
Gm36964	4.365298186249	0.961620283907452	4.15021608625785	2.9201554585888	1.63723625172852	10.6113494734086	6.47247861068257	5.34941802342378	6.965091954747
Gm7493	0	0	0	0.730038864647201	0.409309062932129	0	4.85435895801192	0	1.74127298868675
Adhfe1	7.8575367352482	5.76972170344471	8.99213485355868	5.1102720525304	6.54894500691407	1.76855824556809	3.23623930534128	3.56627868228252	3.4825459773735
Gm6161	1.7461192744996	1.9232405678149	2.07510804312893	4.3802331878832	0.818618125864258	1.76855824556809	6.47247861068257	10.6988360468476	8.70636494343375
Gm15604	2.6191789117494	0.480810141953726	2.7668107241719	2.1901165939416	0.409309062932129	5.30567473670428	4.85435895801192	1.78313934114126	6.965091954747
Prex2	12.2228349214972	23.0788868137788	11.7589455777306	16.7908938868856	15.5537443914209	15.9170242101128	6.47247861068257	5.34941802342378	8.70636494343375
Smt3h2-ps4	0.873059637249799	2.40405070976863	3.45851340521488	2.1901165939416	1.63723625172852	3.53711649113619	4.85435895801192	1.78313934114126	12.1889109208072
Rpl5-ps1	4.365298186249	5.76972170344471	7.60872949147273	8.76046637576641	4.91170875518555	12.3799077189766	16.1811965267064	16.0482540702713	6.965091954747
Gm10566	7.8575367352482	5.76972170344471	9.68383753460166	5.1102720525304	4.50239969225342	26.5283736835214	25.8899144427303	10.6988360468476	24.3778218416145
Gm6060	3.4922385489992	4.32729127758353	2.7668107241719	4.3802331878832	0.409309062932129	10.6113494734086	9.70871791602385	5.34941802342378	12.1889109208072
Rpl7	52.383578234988	58.1780271764008	51.8777010782232	55.4829537131873	56.4846506846338	44.2139561392023	32.3623930534128	46.3616228696728	33.0841867850482
Eloc	12.2228349214972	27.4061780913624	15.9091616639884	18.9810104808272	13.9165081396924	12.3799077189766	6.47247861068257	7.13255736456504	12.1889109208072
Gm5828	0.873059637249799	0	0	1.4600777292944	0.818618125864258	5.30567473670428	1.61811965267064	3.56627868228252	3.4825459773735
Rbm6-ps1	2.6191789117494	0	0.691702681042976	0.730038864647201	0	1.76855824556809	3.23623930534128	3.56627868228252	3.4825459773735
Gm6075	1.7461192744996	0.480810141953726	0.691702681042976	0	0.409309062932129	1.76855824556809	3.23623930534128	1.78313934114126	8.70636494343375
